,urban,gender,age,hand,voted,married,familysize,points,result
254,3,1,59,1,1,3,3,43,complotist
255,1,3,15,3,2,1,2,39,Not complotist
256,2,3,16,2,2,1,2,62,complotist
257,2,2,23,1,1,1,2,30,Not complotist
258,3,1,30,1,1,1,2,18,Not complotist
259,2,1,28,1,2,1,4,33,Not complotist
260,3,3,40,2,1,2,5,69,complotist
261,3,2,21,1,2,1,4,60,complotist
262,3,2,34,1,2,2,2,43,complotist
263,2,3,18,1,2,1,1,46,complotist
264,3,2,56,1,2,1,4,63,complotist
265,1,1,58,1,1,2,5,55,complotist
266,3,1,15,1,2,1,3,41,complotist
267,3,2,26,1,2,1,2,33,Not complotist
268,1,3,15,1,2,1,0,41,complotist
269,2,1,36,1,1,2,2,32,Not complotist
270,2,2,19,2,2,1,2,34,Not complotist
271,2,2,20,1,2,1,2,59,complotist
272,2,2,18,1,2,1,1,56,complotist
273,2,2,52,1,2,2,4,26,Not complotist
274,2,1,13,1,2,1,1,49,complotist
275,2,3,21,2,1,1,0,41,complotist
276,2,2,26,1,2,1,3,42,complotist
277,2,1,20,1,2,1,4,17,Not complotist
278,2,1,19,1,2,1,3,38,Not complotist
279,2,2,18,1,2,1,1,34,Not complotist
280,2,1,22,1,1,1,2,27,Not complotist
281,2,2,15,1,2,1,2,17,Not complotist
282,1,2,36,1,1,1,5,59,complotist
283,3,1,19,1,2,1,3,32,Not complotist
284,2,1,33,2,1,1,2,58,complotist
285,2,1,67,1,1,2,3,26,Not complotist
286,3,1,18,1,2,1,3,63,complotist
287,2,1,25,1,2,1,2,56,complotist
288,2,2,20,1,2,1,2,60,complotist
289,2,1,43,1,2,3,2,53,complotist
290,2,1,37,1,2,2,2,62,complotist
291,2,2,28,1,2,1,3,43,complotist
292,3,1,38,1,2,2,2,64,complotist
293,2,1,33,1,2,1,2,37,Not complotist
294,2,2,40,3,2,3,5,69,complotist
295,2,1,43,1,2,2,2,32,Not complotist
296,1,1,19,1,0,1,4,26,Not complotist
297,2,1,46,1,1,2,2,23,Not complotist
298,1,2,19,1,1,1,2,21,Not complotist
299,3,1,49,1,2,1,1,39,Not complotist
300,1,1,38,1,1,3,1,49,complotist
301,3,1,65,1,2,2,2,53,complotist
302,3,1,26,1,1,1,1,42,complotist
303,3,1,36,1,1,1,1,56,complotist
304,2,1,20,1,2,1,2,22,Not complotist
305,2,1,32,1,1,2,3,38,Not complotist
306,3,1,22,2,1,1,2,55,complotist
307,3,1,24,1,2,1,2,43,complotist
308,2,2,42,1,2,3,7,29,Not complotist
309,2,1,17,1,1,1,3,15,Not complotist
310,2,1,42,1,2,3,2,31,Not complotist
311,3,1,30,2,2,1,3,50,complotist
312,3,2,15,1,2,1,4,54,complotist
313,3,1,58,1,1,2,5,51,complotist
314,3,1,31,1,1,1,2,52,complotist
315,3,1,29,1,2,1,2,39,Not complotist
316,3,1,26,1,2,1,3,26,Not complotist
317,1,3,18,1,1,1,2,50,complotist
318,2,1,19,1,2,1,4,41,complotist
319,2,1,16,1,2,1,2,45,complotist
320,2,1,17,1,2,1,3,58,complotist
321,3,2,16,1,2,1,2,52,complotist
322,3,2,13,1,2,1,3,43,complotist
323,1,1,21,2,1,1,1,33,Not complotist
324,3,2,16,1,2,1,3,55,complotist
325,2,1,31,1,1,2,2,31,Not complotist
326,3,2,26,1,2,1,2,46,complotist
327,3,2,50,1,1,1,4,31,Not complotist
328,3,2,62,2,2,3,5,73,complotist
329,2,1,21,3,1,1,2,28,Not complotist
330,2,1,18,1,2,1,4,42,complotist
331,1,1,19,1,1,1,2,28,Not complotist
332,2,1,26,1,1,1,3,28,Not complotist
333,2,1,50,1,2,1,2,38,Not complotist
